,count,unique,top,freq,mean,min,25%,50%,75%,max,std,missing_pct
_time,2791747,,,,2024-02-20 05:51:54.999028992,2024-01-31 21:00:00.334000,2024-02-13 21:03:27.883000064,2024-02-22 15:39:01.969999872,2024-02-26 19:01:30.616000,2024-03-01 20:59:59.115000,,0.09615542897058939
battery_id,2794434,119,BGU9014,52313,,,,,,,,0.0
BMS_PCB_board_surface_temperature,402105.0,,,,30.949025751980205,2.0,29.0,30.0,32.0,54.0,3.7725112284261004,85.6105028782215
BMS_switch_C_FET_state,2794434.0,,,,0.14383986166787263,0.0,0.0,0.0,0.0,1.0,0.3509273428118519,0.0
BMS_switch_D_FET_state,2794434.0,,,,0.14380729693383348,0.0,0.0,0.0,0.0,1.0,0.35089428941472334,0.0
Battery_control,2794434.0,,,,0.5375296034903669,0.0,0.0,0.0,0.0,4.0,1.35720446090299,0.0
Battery_status,2794434.0,,,,0.3423279991583269,0.0,0.0,0.0,0.0,2.0,0.7490071375377488,0.0
Cell_series_numbe_23_series,82773.0,,,,23.996544767013397,2.0,24.0,24.0,24.0,24.0,0.27568842067386146,97.03793326305077
Internal_temperature_of_battery,401484.0,,,,28.93675962180311,2.0,27.0,28.0,30.0,52.0,3.73854878627923,85.63272562529657
Location_type,385790.0,,,,2.270701677078203,1.0,1.0,1.0,5.0,5.0,1.8622923900060908,86.1943420384951
Mileage,385699.0,,,,170.1909805314507,0.0,1.0,108.0,303.0,724.0,186.16853884358036,86.197598511899
Number_of_cycles,82690.0,,,,2.7166525577457974,0.0,1.0,2.0,3.0,15.0,2.4124705976147442,97.04090345307851
SOC,2227436.0,,,,66.42113757701681,0.0,21.0,86.0,100.0,100.0,36.63523432090926,20.290262715097228
Speed_information,385355.0,,,,7.866141609684576,0.0,0.0,0.0,15.0,110.0,12.593409729599175,86.20990869707425
Surface_temperature_in_the_middle_of_cells,400961.0,,,,29.026172121478147,2.0,27.0,28.0,30.0,52.0,3.772256826177491,85.65144140101359
Total_charged_capacity,82583.0,,,,89.00188900863374,0.0,53.0,58.0,100.0,463.0,66.80853334488843,97.04473249323476
Total_current,2794434.0,,,,-0.25673821603945557,-6124.0,0.0,0.0,0.0,1385.0,133.22573560525743,0.0
Total_discharged_capacity,82522.0,,,,96.12857177479945,0.0,34.0,84.0,116.0,464.0,74.48139461087828,97.04691540397805
Total_voltage,1840021.0,,,,7928.4997307095955,7.0,7785.0,7981.0,7994.0,8340.0,218.12486850619098,34.15407198738635
alarmDesc,113924.0,,,,0.09213159650293178,0.0,0.0,0.0,0.0,11.0,0.984697157813293,95.92318158167271
alarmFlag,2794434.0,,,,5.2962424591169446e-05,0.0,0.0,0.0,0.0,1.0,0.00727733732381434,0.0
alarmTime,113848.0,,,,1705642712622.4932,1.0,1707605906906.75,1708210282386.0,1708830213803.0,1709326759924.0,65860847020.95717,95.92590127374632
cell_voltage_1,201674.0,,,,3300.375184704027,3.0,3239.0,3325.0,3332.0,3641.0,103.0447538312267,92.78301079932466
cell_voltage_10,201508.0,,,,3301.1856303471823,3.0,3240.0,3326.0,3332.0,3642.0,94.88005678151531,92.78895117938015
cell_voltage_11,201391.0,,,,3301.547809981578,3.0,3240.0,3326.0,3332.0,3637.0,89.95639313594705,92.79313807375662
cell_voltage_12,201299.0,,,,3301.36324075132,3.0,3239.0,3325.0,3332.0,3638.0,90.33861326711917,92.79643033258256
cell_voltage_13,201213.0,,,,3295.2173815807128,3.0,3233.0,3324.0,3330.0,3481.0,93.63016243871095,92.79950787887637
cell_voltage_14,201120.0,,,,3296.9766607000797,3.0,3234.0,3324.0,3330.0,3510.0,92.36998481308007,92.80283592312432
cell_voltage_15,201014.0,,,,3296.8490154914584,3.0,3234.0,3324.0,3330.0,3533.0,94.51577002902197,92.80662917785855
cell_voltage_16,200902.0,,,,3297.3274631412332,3.0,3234.0,3324.0,3330.0,3581.0,89.37278523392068,92.81063714512491
cell_voltage_17,200797.0,,,,3297.1950327943146,2.0,3234.0,3324.0,3330.0,3634.0,91.96873730261396,92.81439461443712
cell_voltage_18,200695.0,,,,3297.2497720421534,3.0,3234.0,3324.0,3330.0,3515.0,90.89183103866033,92.81804472748327
cell_voltage_19,200590.0,,,,3297.513016601027,3.0,3235.0,3324.0,3331.0,3628.0,93.19385363152281,92.82180219679549
cell_voltage_2,200465.0,,,,3300.8782630384358,3.0,3239.0,3325.0,3332.0,3641.0,96.37869633092672,92.82627537454812
cell_voltage_20,200309.0,,,,3296.5998582190514,3.0,3234.0,3324.0,3330.0,3641.0,104.77804747542021,92.83185790038341
cell_voltage_21,200132.0,,,,3296.6560619990805,3.0,3235.0,3324.0,3330.0,3569.0,104.1498036466232,92.83819192008113
cell_voltage_22,199950.0,,,,3296.7564441110276,3.0,3235.0,3324.0,3330.0,3557.0,103.31081921719272,92.84470486688896
cell_voltage_23,199787.0,,,,3297.411603357576,3.0,3235.0,3324.0,3330.0,3536.0,94.55908379344784,92.8505378906784
cell_voltage_24,197656.0,,,,3297.0542558789007,3.0,3234.0,3324.0,3330.0,3636.0,91.05382034649153,92.92679662500528
cell_voltage_3,199577.0,,,,3301.1880477209297,3.0,3239.0,3326.0,3332.0,3636.0,93.0810749091263,92.85805282930282
cell_voltage_4,199458.0,,,,3301.5380681647266,3.0,3239.0,3326.0,3332.0,3633.0,88.39493025152406,92.86231129452332
cell_voltage_5,199359.0,,,,3301.2970069071375,3.0,3239.0,3326.0,3332.0,3634.0,88.76398667325516,92.86585405130342
cell_voltage_6,199265.0,,,,3301.26313702858,3.0,3240.0,3326.0,3332.0,3642.0,92.76311474204428,92.86921788097338
cell_voltage_7,199145.0,,,,3301.4959552085165,3.0,3240.0,3326.0,3332.0,3637.0,91.48873796608525,92.87351213161593
cell_voltage_8,199037.0,,,,3301.0622497324616,3.0,3239.0,3326.0,3332.0,3621.0,92.15319976300934,92.87737695719419
cell_voltage_9,198927.0,,,,3301.112483473837,3.0,3239.0,3326.0,3332.0,3639.0,94.24344340229487,92.88131335361652
id,113307.0,,,,1001260.1435127574,0.0,1002001.0,1002001.0,1002001.0,1003001.0,27508.37548398419,95.9452611870597
times_100_of_battery_capacity,198772.0,,,,1790.0458867446118,0.0,504.0,2326.0,2836.0,3604.0,1101.4401942292784,92.88686009402977
swap_cycle,2794434,2,False,2380700,,,,,,,,0.0
swap_out_date,413734,184,2024-02-27 13:05:32,12359,,,,,,,,85.19435420553859
swap_in_date,413734,184,2024-02-16 20:52:46,12359,,,,,,,,85.19435420553859
cycle_duration_hours,413734.0,,,,80.9943073159459,0.4991666666666666,31.2075,62.672222222222224,118.615,256.2127777777778,62.757948672781694,85.19435420553859
SOC_change,413734.0,,,,70.33905359482179,-57.0,59.0,76.0,85.0,100.0,20.643798631042422,85.19435420553859
